kton/a,Electric arc,Integrated steelworks,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport Equipment,Machinery Equipment,Textiles and leather,Wood and wood products,Other Industrial Sectors,Ammonia,HVC,Chlorine,Methanol
AL,,,,,,,,,,,,,,,,,,,,,,,,
AT,553.6100000000001,5826.824100000002,254.98799999999997,96.152,3513.0747000000006,6156.4533999999985,530.8538000000001,1250.6043,3425.5188,144.624,4798.957799999999,0.0,0.0,461.21900000000005,296.15299999999996,3481.899800000001,14865.291700000005,1475.586,1646.0572,7468.971999999999,417.71060000000006,410.9669999999999,75.7134,11.852999999999998
BA,,,,,,,,,,,,,,,,,,,,,,,,
BE,1346.3999999999999,2645.027,806.3388000000001,248.444,4384.9977,15415.083399999996,1033.0917999999997,1433.8475999999998,1482.9687,270.96299999999997,11224.5861,,,,1873.2669999999998,4385.084,3266.4334999999996,3771.2359999999994,758.1157999999999,6297.284000000001,898.0894,2104.5042000000003,387.7146,60.70680000000001
BG,407.25000000000006,0.0,149.56500000000003,12.767999999999999,1568.6599999999996,1936.0575,399.56300000000005,93.25350000000002,242.44530000000003,31.188000000000006,1850.0118,0.0,0.0,15.58,467.1814999999999,373.9125000000001,2321.9625,1084.104,196.0026,2603.062,342.063,477.14250000000015,87.90750000000003,13.762500000000005
CH,205.1511,314.40400000000005,163.23659999999998,51.91199999999999,1861.5402000000001,3730.1554,413.1938,224.96760000000003,545.0310000000001,41.544900000000005,3353.259,62.2955,19.113,27.599999999999998,106.55200000000002,9977.9778,2876.7302000000004,840.9379999999999,0.0,2330.846,31.3298,404.96759999999995,74.6064,11.680199999999997
CZ,269.99999999999994,3676.1924999999997,467.131,19.888,3912.6034999999997,4874.036999999999,1123.2619999999997,304.66100000000006,518.224,76.44000000000001,3757.0,0.0,0.0,37.455999999999996,100.395,9939.719999999998,15764.302499999998,1250.248,792.6480000000001,3407.384,196.713,552.615,101.80799999999999,15.938999999999998
DE,10476.26,24944.562700000002,2822.769,1048.684,26245.4985,26463.4418,5500.272,1762.2600000000002,15599.52,1010.4774000000001,30876.026999999995,1671.1799999999998,609.5,648.4965,2639.7555000000007,84073.4473,136858.1771,10490.746,6732.0455999999995,43501.905999999995,2610.7106,9304.275599999999,1714.1327999999999,268.39079999999996
DK,365.38291677661067,0.0,289.95300000000003,159.30599999999995,1747.7486,5943.4092,169.20099999999996,3.3327,360.6699,33.8169,5023.6822999999995,,,,,512.7993445824665,6322.812681699004,406.26599999999985,260.709,3395.013999999999,0.0,0.0,0.0,0.0
EE,,,41.4018,0.504,334.7466999999999,404.76019999999994,43.77100000000001,162.14999999999998,51.74999999999999,11.729999999999999,502.1197999999999,,,,7.3245000000000005,,,281.61,402.4198,882.0840000000001,36.55,0.0,0.0,0.0
ES,8419.52,3901.5727,952.8408000000001,311.416,11648.755399999998,70376.4672,3364.0399999999995,1132.2209999999998,4274.687999999999,534.7499999999999,19657.292199999996,1785.2255,264.50000000000006,0.0,1909.7375000000002,12996.0404,24215.0757,7431.284,1382.8628,24848.963999999996,417.71060000000006,1348.3908000000001,248.4162,38.8962
FI,1132.95,2177.3390000000004,394.6914,53.773999999999994,922.8621999999999,1412.6878000000002,214.70360000000002,7210.500000000001,7120.8,72.01530000000001,3483.8713,0.0,0.0,31.8435,900.0775,1921.1512,9703.646200000001,524.972,1815.4771999999998,5557.901999999999,81.4506,486.5616,89.64,14.0346
FR,4281.969999999999,8154.857899999999,2424.3462,608.8179999999999,15009.383799999998,14846.3706,3883.8160000000016,1190.2499999999998,5508.959999999999,622.3316999999998,42461.400799999996,798.4909999999999,482.9999999999999,299.828,626.8764999999999,27864.984099999994,48066.6446,6917.0779999999995,2295.1679999999997,23368.001999999997,1086.0595999999998,2360.5128,434.87820000000005,68.09400000000001
GB,1540.48,7512.0893,789.5555999999999,566.986,8997.7603,43228.0056,2501.8438,159.27270000000001,2739.3,666.7056000000001,23731.535099999997,0.0,41.2275,304.1635,566.3235000000001,27001.701100000002,45597.8594,14580.552,0.0,46891.992,877.1999999999999,1439.3807999999997,265.17779999999993,41.520599999999995
GR,910.0,0.0,47.3526,13.846,5128.788799999999,6650.0,156.27,0.0,507.73999999999995,47.169999999999995,4201.142400000001,1179.7344,234.60000000000002,0.0,828.9147,393.05,1132.9,686.91,99.1322,3125.4299999999994,190.74,91.31400000000001,16.821,2.6352
