,number cars,average fuel efficiency
AL,,
AT,754102.2010760347,0.7539379043953159
BA,,
BE,277876.07487607945,0.6478651818211225
BG,,
CH,979884.9782039039,0.7961097757021997
CZ,1060193.6429970134,0.7387535192740904
DE,11304688.496126082,0.7552996085254098
DK,551774.6747202624,0.7266414210641985
EE,,
ES,,
FI,,
FR,9387370.07498719,0.6434376755673564
GB,6744290.540263669,0.7552259913160309
GR,,
HR,,
HU,,
IE,,
IT,,
LT,,
LU,72044.53081027135,2.0274831849452397
LV,,
ME,,
MK,,
NL,1662490.8316528385,0.6962154496300998
NO,541753.937740071,0.7961097757021997
PL,1365250.4455196415,0.7989571517921507
PT,,
RO,,
RS,,
SE,,
SI,,
SK,,
