,number cars,average fuel efficiency
AL,,
AT,754102.2010760347,0.7539379043953159
BA,,
BE,277876.07487607945,0.6478651818211225
BG,416621.4506784487,0.7890387850264401
CH,979884.9782039039,0.7961097757021997
CZ,1060193.6429970134,0.7387535192740904
DE,11304688.496126082,0.7552996085254098
DK,551774.6747202624,0.7266414210641985
EE,215560.4793551335,0.856345365809167
ES,4132370.457840727,0.7464642087952883
FI,899319.5930555547,0.6582251063846402
FR,9387370.07498719,0.6434376755673564
GB,6744290.540263669,0.7552259913160309
GR,1479529.5231658325,0.7646126413238824
HR,151518.8212083484,0.6959412326573443
HU,464222.21740806126,0.8040965122403337
IE,475537.5194191125,0.745011534970623
IT,10486063.795238338,0.6644897478298634
LT,357032.15555077064,0.7137245330854497
LU,72044.53081027135,2.0274831849452397
LV,160703.7879098962,0.8626918224934985
ME,,
MK,,
NL,1662490.8316528385,0.6962154496300998
NO,541753.937740071,0.7961097757021997
PL,1365250.4455196415,0.7989571517921507
PT,990745.7572297498,0.665774889926279
RO,537963.1924194437,0.8115701112415002
RS,,
SE,1172087.0181581553,0.8724941426526628
SI,298016.4911595653,0.8197574851599163
SK,266394.8084383209,0.6847989603292881
